survey_date,edp_site_id,consent_edp,consent_spt,consent_contact,consent_contact_method,over_18,postcode,state,account_holder,property_use,property_year,property_construction,property_construction_other,property_star_rating,num_floors,dwelling_type,dwelling_type_other,num_bedrooms,tenure,tenure_not_occupied,tenure_other,tenure_rented_from,tenure_rented_other,num_occupants,num_children,num_occupants_70plus,has_pets,num_type_pets,has_livestock,num_type_livestock,num_days_occupied,income_weekly,has_gas,has_gas_heating,has_gas_cooking,has_gas_hot_water,has_aircon,aircon_type,num_rooms_aircon,num_rooms_heated,num_refrigerators,has_poolpump,dryer_usage,has_ev,ev_type,ev_charger_type,significant_loads_other,commercial_loads,business_hours,connection_type,has_controlled_load,islandable,property_power_outage_types,property_power_outage_other,area_power_outage_types,area_power_outage_other,power_outage_latest,has_solar,hot_water_heat_type,hot_water_heat_type_other,rooms_heat_type,rooms_heat_type_other,has_battery,battery_size_make_model
12/7/21,S0009,"Yes, I agree to participate",Yes,Yes,"Email,Phone",Yes,4215,QLD,Yes,Residential,2013,Timber frame with fibreboard or other lightweight cladding,,5,2,"Semi-detached house, townhouse or terrace",,4,This is my home and is owned outright by me or my family,,,,,2,0,0,Yes,one pain in the butt cat,No,,7-Jun,Prefer not to say / Not applicable,No,,,,Yes,Ducted,4,4,2,No,Low,Yes,Hyundai Kona 2021 EV,Schneider EVlink EVB1A7PCKI Wallbox (7kW),,,,Single phase,No,No,,,,,,t,,,,,,
12/7/21,S0010,"Yes, I agree to participate",No,No,,Yes,2018,NSW,Yes,Residential,1994,Double brick,,,2,Detached house,,4,This is my home and is owned outright by me or my family,,,,,4,0,2,No,,No,,7-Jun,Above $1200,,Yes - connected to the gas main,Yes - connected to the gas main,No,Yes,Split system,5,5,3 or more,No,Low,No,,,None,,,,Don't Know,,Other (please give details),grid outage,,,2 years,t,,,,,,
12/7/21,S0011,"Yes, I agree to participate",Yes,Yes,Email,Yes,2031,NSW,Yes,Residential,1910,Double brick,,,2,"Semi-detached house, townhouse or terrace",,5 or more,This is my home and is owned under a mortgage by me or my family,,,,,5,3,0,No,,No,,7-Jun,Prefer not to say / Not applicable,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,No,Yes,Wall / window mounted,2,0,2,No,Low,No,,,None,,,,Yes,,,,,,,t,,,,,,
12/7/21,S0012,"Yes, I agree to participate",Yes,Yes,Email,Yes,3030,VIC,Yes,Residential,2005,Brick veneer,,,1,Detached house,,3,This is my home and is owned under a mortgage by me or my family,,,,,4,2,0,Yes,1x Rabbit,No,,4-Mar,Prefer not to say / Not applicable,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,No,,,8,2,No,High,No,,,,,,Single phase,Don't Know,Yes,Other (please give details),Heartquake,,,22.09.2021,t,,,,,,
12/7/21,S0013,"Yes, I agree to participate",Yes,Yes,Email,Yes,2790,NSW,Yes,Residential,2016,Brick veneer,,,1,Detached house,,4,This is my home and is owned outright by me or my family,,,,,2,0,0,No,,No,,7-Jun,Above $1200,Yes - connected to the gas main,No,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Ducted,7,0,1,No,None,No,,,"Electric oven, front load washing machine, dishwasher.",,,Three phase,No,No,,,,,,t,,,,,,
12/7/21,S0014,"Yes, I agree to participate",Yes,Yes,Email,Yes,4566,QLD,Yes,Residential,2015,Double brick,,,2,Detached house,,4,This is my home and is owned under a mortgage by me or my family,,,,,2,0,1,No,,No,,7-Jun,Above $1200,Yes - bottled gas,No,Yes - bottled gas,Yes - bottled gas,Yes,Ducted,10,10,3 or more,Yes,Low,No,,,Pool heater seems to use a lot of electricity when on,,,Two phase,Don't Know,No,Storm,,,,12 months,t,,,,,,
12/7/21,S0015,"Yes, I agree to participate",Yes,No,,Yes,4124,QLD,Yes,Residential,2004,Brick veneer,,,1,Detached house,,4,This is my home and is owned under a mortgage by me or my family,,,,,3,0,1,No,,No,,7-Jun,Prefer not to say / Not applicable,No,,,,Yes,Split system,2,2,2,No,Low,No,,,,,,,Don't Know,,"Storm,Wind",,,,3 weeks,t,,,,,,
12/7/21,S0016,"Yes, I agree to participate",Yes,Yes,Email,Yes,2762,NSW,Yes,Residential,2016,Brick veneer,,,1,Detached house,,4,This is my home and is owned under a mortgage by me or my family,,,,,4,2,0,Yes,1,No,,7-Jun,Above $1200,Yes - connected to the gas main,No,No,Yes - connected to the gas main,Yes,Ducted,All 4 bedrooms including living room,All 4 bedrooms including living room,1,No,None,No,,,,,,,Don't Know,,,,,,,t,,,,,,
12/7/21,S0017,"Yes, I agree to participate",Yes,No,,Yes,2642,NSW,Yes,Residential,2012,Brick veneer,,,1,Detached house,,4,This is my home and is owned under a mortgage by me or my family,,,,,2,0,0,No,,No,,7-Jun,Above $1200,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Split system,1,6,2,No,Medium,No,,,nil,,,Single phase,Don't Know,No,"Storm,Wind",,,,8 months,t,,,,,,
12/7/21,S0018,"Yes, I agree to participate",Yes,No,,Yes,3030,VIC,Yes,Residential,1980,Brick veneer,,,1,Detached house,,3,This is my home and is owned outright by me or my family,,,,,3,1,0,Yes,Dog ,No,,7-Jun,Less than $800,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Split system,1,3,2,No,None,No,,,,,,Single phase,Don't Know,,,,,,,t,,,,,,
12/7/21,S0019,"Yes, I agree to participate",Yes,No,,Yes,3147,VIC,Yes,Residential,Approximately 1952,Brick veneer,,,1,Detached house,,2,This is my home and is owned under a mortgage by me or my family,,,,,1,0,0,No,,No,,7-Jun,Prefer not to say / Not applicable,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Wall / window mounted,2,2,1,No,Low,No,,,"Due to operation of a home-based business, use of gas and electricity would be higher than otherwise for lighting, heating, cooling and computer.",,,,Don't Know,,,,,,,t,,,,,,
12/7/21,S0020,"Yes, I agree to participate",Yes,Yes,Email,Yes,2261,NSW,Yes,Residential,1990,Brick veneer,,,1,Detached house,,4,This is my home and is owned outright by me or my family,,,,,2,0,0,No,,No,,7-Jun,Prefer not to say / Not applicable,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Split system,2,2,3 or more,Yes,Medium,No,,,None,,,Single phase,Don't Know,No,,,,,,t,,,,,,
12/7/21,S0021,"Yes, I agree to participate",Yes,Yes,"Email,Phone",Yes,2289,NSW,Yes,Residential,1975,Brick veneer,,,1,Detached house,,2,This is my home and is owned under a mortgage by me or my family,,,,,4,2,0,Yes,1 cat,No,,7-Jun,Above $1200,Yes - connected to the gas main,No,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Split system,2,All,3 or more,No,Low,No,,,,,,Single phase,No,No,Storm,,,,More than 6 months and was minor. ,t,,,,,,
12/7/21,S0022,"Yes, I agree to participate",No,Yes,Email,Yes,3083,VIC,Yes,Residential,2009,Brick veneer,,5,1,Detached house,,4,This is my home and is owned outright by me or my family,,,,,4,2,0,Yes,Dog,No,,7-Jun,Prefer not to say / Not applicable,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Ducted,6,6,2,No,Low,No,,,Water tank pump ,,,Three phase,No,,,,,,,t,,,,,,
12/7/21,S0023,"Yes, I agree to participate",Yes,Yes,"Email,Phone",Yes,5323,SA,Yes,Residential,2006,Other (please specify),Zinc. Straw bale. Glass,,2,Detached house,,3,This is my home and is owned under a mortgage by me or my family,,,,,2,0,0,Yes,2 Whippet dogs ,No,,4-Mar,Above $1200,Yes - bottled gas,No,No,Yes - bottled gas,Yes,Ducted,2,4,2,No,None,No,,,Spa tub. ,,,,Don't Know,No,"Bushfire,Storm,Wind",,,,3 hours ,t,,,,,,
12/7/21,S0024,"Yes, I agree to participate",Yes,Yes,Email,Yes,4557,QLD,Yes,Residential,2017,Other (please specify),Mix Brick Veneer and fibreboard on timber frame,,2,Detached house,,4,This is my home and is owned outright by me or my family,,,,,4,2,0,No,,No,,7-Jun,Above $1200,No,,,,Yes,Ducted,7,7,3 or more,Yes,Medium,No,,,None,,,,Don't Know,,Other (please give details),Short circuit from time to time,,,5 months,t,,,,,,
12/7/21,S0025,"Yes, I agree to participate",Yes,Yes,Email,Yes,3032,VIC,Yes,Residential,1906,Timber frame with fibreboard or other lightweight cladding,,,1,Detached house,,4,This is my home and is owned outright by me or my family,,,,,1,0,1,No,,No,,7-Jun,$800 - $1200,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Split system,5,5,1,No,Low,No,,,,,,,Don't Know,,,,,,,t,,,,,,
12/7/21,S0026,"Yes, I agree to participate",Yes,Yes,Email,Yes,5048,SA,Yes,Residential,2015,Brick veneer,,,1,Detached house,,3,This is my home and is owned outright by me or my family,,,,,2,0,2,No,,No,,7-Jun,$800 - $1200,Yes - connected to the gas main,No,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Ducted,5,5,2,No,None,No,,,"Electric pump for storm water
Electric pump for Rain Water pump for water to be punt in Laundry and Toilet",,,Single phase,Don't Know,,,,,,,t,,,,,,
12/7/21,S0027,"Yes, I agree to participate",Yes,No,,Yes,3337,VIC,Yes,Residential,2016,Brick veneer,,,1,Detached house,,3,This is my home and is owned under a mortgage by me or my family,,,,,1,0,0,Yes,1 dog,Yes,9 chickens,5-Apr,Prefer not to say / Not applicable,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,No,,,5,2,No,None,No,,,,,,,Don't Know,,Other (please give details),No,,,,t,,,,,,
12/7/21,S0028,"Yes, I agree to participate",Yes,No,,Yes,4018,QLD,Yes,Residential,2000,Brick veneer,,,1,"Semi-detached house, townhouse or terrace",,3,This is my home and is owned under a mortgage by me or my family,,,,,3,2,0,Yes,1 Cat,No,,4-Mar,$800 - $1200,Yes - connected to the gas main,No,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Split system,1,0,1,No,Low,No,,,Adult Children ,,,,Don't Know,,Other (please give details),Traffic Accident ,,,18 months,t,,,,,,
12/7/21,S0029,"Yes, I agree to participate",No,No,,Yes,5025,SA,Yes,Residential,2011,Brick veneer,,5,2,Detached house,,5 or more,This is my home and is owned under a mortgage by me or my family,,,,,4,2,0,No,,No,,7-Jun,Above $1200,Yes - connected to the gas main,No,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Ducted,9,9,2,No,Low,No,,,,,,Three phase,Don't Know,No,Storm,,,,5 years,t,,,,,,
12/7/21,S0030,"Yes, I agree to participate",Yes,Yes,"Email,Phone",Yes,5049,SA,Yes,Residential,1966,Double brick,,,1,Detached house,,3,This is my home and is owned under a mortgage by me or my family,,,,,3,1,0,Yes,1 cat,No,,4-Mar,Above $1200,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Split system,3,1,1,Yes,Low,No,,,"Mainly the pool, but we would like to get an EV in the coming year and a charging station",,,,Don't Know,,Storm,,,,3 months,t,,,,,,
12/7/21,S0031,"Yes, I agree to participate",Yes,Yes,Email,Yes,5127,SA,Yes,Residential,1988ish,Brick veneer,,,1,Detached house,,3,This is my home and is owned under a mortgage by me or my family,,,,,6,4,0,No,,No,,7-Jun,Above $1200,Yes - connected to the gas main,No,No,Yes - connected to the gas main,Yes,Ducted,7,7,1,No,Low,No,,,,,,Three phase,Don't Know,No,,,,,,t,,,,,,
12/7/21,S0032,"Yes, I agree to participate",Yes,No,,Yes,3030,VIC,Yes,Residential,,Brick veneer,,,1,Detached house,,3,This is my home and is owned under a mortgage by me or my family,,,,,3,1,0,No,,No,,2-Jan,Above $1200,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,No,,,3,1,No,,No,,,don't have any I guess,,,Single phase,No,,,,,,,t,,,,,,
12/7/21,S0033,"Yes, I agree to participate",Yes,Yes,Email,Yes,4310,QLD,Yes,Residential,1920,Timber frame with fibreboard or other lightweight cladding,,,1,Detached house,,3,This is my home and is owned outright by me or my family,,,,,1,0,1,No,,No,,7-Jun,$800 - $1200,Yes - bottled gas,No,Yes - bottled gas,No,Yes,Split system,3,3,2,No,Low,No,,,,,,Single phase,Don't Know,No,Storm,,,,10 years,t,,,,,,
12/7/21,S0034,"Yes, I agree to participate",Yes,No,,Yes,2086,NSW,Yes,Residential,1984,Brick veneer,,,2,Detached house,,4,This is my home and is owned under a mortgage by me or my family,,,,,4,2,0,Yes,1 cat,No,,7-Jun,Above $1200,No,,,,Yes,Wall / window mounted,1,3,2,Yes,None,No,,,"Underfloor heating in bathroom
Heated towel rails (x 2)
Home IT/network environment",,,Single phase,Yes,No,,,,,,t,,,,,,
12/7/21,S0035,"Yes, I agree to participate",No,No,,Yes,2530,NSW,Yes,Residential,1970,Brick veneer,,,1,Detached house,,3,This is my home and is owned outright by me or my family,,,,,2,0,2,No,,No,,7-Jun,Less than $800,Yes - connected to the gas main,No,No,No,No,,,1,1,No,Low,No,,,Freezer and computer,,,,Don't Know,,Wind,,,,several months,t,,,,,,
12/7/21,S0036,"Yes, I agree to participate",Yes,Yes,Email,Yes,3116,VIC,Yes,Residential,1973,Brick veneer,,,1,Detached house,,3,This is my home and is owned outright by me or my family,,,,,2,0,2,No,,No,,7-Jun,$800 - $1200,Yes - connected to the gas main,Yes - connected to the gas main,No,Yes - connected to the gas main,No,,,7,2,No,Low,No,,,,,,,Don't Know,,"Storm,Wind",,,,Month ago,t,,,,,,
12/7/21,S0038,"Yes, I agree to participate",Yes,Yes,Email,Yes,2576,NSW,Yes,Residential,2007,Brick veneer,,Not Known,1,"Semi-detached house, townhouse or terrace",,2,Other (please give details),,I live in a Retirment Village on a Life time Lease,,,2,0,2,No,,No,,7-Jun,$800 - $1200,Yes - connected to the gas main,Yes - connected to the gas main,No,Yes - connected to the gas main,Yes,Ducted,5,5,3 or more,No,None,No,,,not known,,,Single phase,Yes,No,Bushfire,,,,2 hours,t,,,,,,
12/7/21,S0039,"Yes, I agree to participate",No,Yes,Email,Yes,2111,NSW,Yes,Residential,1952,Other (please specify),extension timber frame & plaster board,,2,Detached house,,5 or more,This is my home and is owned under a mortgage by me or my family,,,,,5,3,0,No,,No,,7-Jun,Prefer not to say / Not applicable,Yes - connected to the gas main,Yes - connected to the gas main,No,No,Yes,Ducted,7,7,2,Yes,Low,No,,,our pool is  spa and we heat it.  High energy use :(,,,,Yes,,,,,,,t,,,,,,
12/7/21,S0040,"Yes, I agree to participate",Yes,No,,Yes,4211,QLD,Yes,Residential,1990,Double brick,,,1,Detached house,,4,This is my home and is owned under a mortgage by me or my family,,,,,2,0,0,Yes,1 dog,No,,7-Jun,Prefer not to say / Not applicable,No,,,,Yes,Ducted,All,All,2,Yes,Low,No,,,,,,,Don't Know,,Storm,,,,2 months,t,,,,,,
12/7/21,S0041,"Yes, I agree to participate",Yes,Yes,Email,Yes,2029,NSW,Yes,Residential,1990,Double brick,,,2,Detached house,,4,This is my home and is owned outright by me or my family,,,,,4,2,0,Yes,3 cats,No,,7-Jun,Above $1200,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Ducted,3,2,2,Yes,None,Yes,BMW i3 2015,,It just plugs into the mains,,,Two phase,Don't Know,No,,,,,,t,,,,,,
12/7/21,S0042,"Yes, I agree to participate",Yes,Yes,Email,Yes,5043,SA,Yes,Residential,2003,Brick veneer,,,1,Detached house,,3,This is my home and is owned outright by me or my family,,,,,2,0,2,No,,No,,7-Jun,Less than $800,Yes - connected to the gas main,No,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Ducted,4,0,2,No,Low,No,,,Only TV and lighting,,,Single phase,Don't Know,No,,,,,,t,,,,,,
12/7/21,S0043,"Yes, I agree to participate",Yes,No,,Yes,2574,NSW,Yes,Residential,2002,Brick veneer,,,1,Detached house,,4,This is my home and is owned under a mortgage by me or my family,,,,,4,2,0,Yes,2 Guinea Pigs,No,,5-Apr,Above $1200,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Ducted,All,2,2,Yes,Low,No,,,None ,,,Three phase,No,,"Bushfire,Storm,Wind",,,,8/11/21,t,,,,,,
12/7/21,S0044,"Yes, I agree to participate",Yes,Yes,Email,Yes,3039,VIC,Yes,Residential,1930,Timber frame with fibreboard or other lightweight cladding,,,2,Detached house,,4,This is my home and is owned under a mortgage by me or my family,,,,,5,3,0,Yes,1 dog,No,,7-Jun,Above $1200,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Split system,3,8,2,No,None,No,,,,,,,Don't Know,No,,,,,,t,,,,,,
12/7/21,S0045,"Yes, I agree to participate",Yes,No,,Yes,4035,QLD,Yes,Residential,1992,Brick veneer,,,1,Detached house,,4,This is my home and is owned outright by me or my family,,,,,2,0,2,No,,No,,7-Jun,Above $1200,No,,,,Yes,Ducted,all,all,2,Yes,Low,No,,,Only normal usage for a couple.,,,,Yes,,Storm,,,,12 months,t,,,,,,
12/7/21,S0046,"Yes, I agree to participate",Yes,Yes,Email,Yes,4575,QLD,Yes,Residential,1972,Brick veneer,,4,2,Detached house,,4,This is my home and is owned outright by me or my family,,,,,2,0,0,Yes,2 cats,No,,Never,Don't know,Yes - bottled gas,No,Yes - bottled gas,No,Yes,Ducted,7,7,3 or more,Yes,Medium,No,,,Salt water Fish tank,,,Single phase,No,Yes,Storm,,,,3 years ago,t,,,,,,
12/7/21,S0047,"Yes, I agree to participate",Yes,Yes,"Email,Mail",Yes,4054,QLD,Yes,Residential,1968,Other (please specify),"1st level Brick, 2nd level Timber",,2,Detached house,,4,This is my home and is owned under a mortgage by me or my family,,,,,3,1,2,No,,No,,7-Jun,Above $1200,Yes - connected to the gas main,No,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Split system,4,None,3 or more,Yes,Low,No,,,,,,,Don't Know,,,,,,,t,,,,,,
12/7/21,S0048,"Yes, I agree to participate",Yes,No,,Yes,4011,QLD,Yes,Residential,2013,Timber frame with fibreboard or other lightweight cladding,,,2,Detached house,,4,This is my home and is owned outright by me or my family,,,,,4,2,0,Yes,1 dog,No,,7-Jun,Above $1200,Yes - connected to the gas main,No,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Ducted,All,All,3 or more,Yes,Low,No,,,,,,,Don't Know,,Storm,,,,18 months,t,,,,,,
12/7/21,S0049,"Yes, I agree to participate",Yes,Yes,Email,Yes,2223,NSW,Yes,Residential,,Timber frame with fibreboard or other lightweight cladding,,,1,Detached house,,3,This is my home and is owned under a mortgage by me or my family,,,,,4,2,0,No,,No,,2-Jan,Above $1200,Yes - connected to the gas main,No,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Split system,3,3,1,No,None,No,,,no other significant loads,,,Two phase,No,,,,,,,t,,,,,,
12/7/21,S0050,"Yes, I agree to participate",Yes,Yes,Email,Yes,4520,QLD,Yes,Residential,1980,Double brick,,,2,Detached house,,5 or more,This is my home and is owned outright by me or my family,,,,,5,0,1,Yes,1 dog,Yes,5 cows,7-Jun,Above $1200,Yes - bottled gas,No,Yes - bottled gas,No,No,,,0,2,Yes,Low,No,,,none,,,Three phase,No,No,Wind,,,,1 year,t,,,,,,
12/7/21,S0051,"Yes, I agree to participate",No,No,,Yes,4075,QLD,Yes,Residential,2015,Double brick,,,1,Detached house,,4,This is my home and is owned under a mortgage by me or my family,,,,,4,2,0,Yes,2,No,,4-Mar,Prefer not to say / Not applicable,Yes - bottled gas,No,Yes - bottled gas,Yes - bottled gas,Yes,Ducted,All,All,2,No,High,No,,,,,,Single phase,No,No,,,,,,t,,,,,,
12/7/21,S0052,"Yes, I agree to participate",Yes,No,,Yes,3182,VIC,Yes,Residential,1885,Double brick,,,2,Detached house,,3,This is my home and is owned under a mortgage by me or my family,,,,,2,0,0,No,,No,,7-Jun,Prefer not to say / Not applicable,Yes - connected to the gas main,Yes - connected to the gas main,No,Yes - connected to the gas main,Yes,Split system,8,8,1,No,Low,No,,,None,,,Three phase,Don't Know,No,"Storm,Wind",,,,6 months,t,,,,,,
12/7/21,S0053,"Yes, I agree to participate",Yes,Yes,Email,Yes,3029,VIC,Yes,Residential,2003,Brick veneer,,,1,Detached house,,3,This is my home and is owned under a mortgage by me or my family,,,,,3,0,0,Yes,Dogs 2,No,,7-Jun,Above $1200,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,Yes,Split system,1,All,1,No,None,No,,,,,,Single phase,Don't Know,No,,,,,,t,,,,,,
12/7/21,S0054,"Yes, I agree to participate",Yes,Yes,Email,Yes,3754,VIC,Yes,Residential,2008,Brick veneer,,5,1,Detached house,,4,This is my home and is owned under a mortgage by me or my family,,,,,3,1,0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,
12/7/21,S0055,"Yes, I agree to participate",Yes,Yes,Email,Yes,4051,QLD,Yes,Residential,,Timber frame with fibreboard or other lightweight cladding,,,2,Detached house,,4,This is my home and is owned outright by me or my family,,,,,4,2,0,Yes,Dog x 1,No,,7-Jun,Prefer not to say / Not applicable,Yes - connected to the gas main,No,No,Yes - connected to the gas main,Yes,Ducted,6,6,2,Yes,Low,No,,,,,,Two phase,Yes,No,,,,,,t,,,,,,
12/7/21,S0056,"Yes, I agree to participate",Yes,Yes,Email,Yes,4214,QLD,Yes,Residential,2001,Brick veneer,,,2,Detached house,,5 or more,This is my home and is owned outright by me or my family,,,,,4,1,0,Yes,1 Dog,No,,7-Jun,Above $1200,Yes - bottled gas,No,Yes - bottled gas,No,Yes,Split system,2,0,1,Yes,Low,No,,,,,,,Don't Know,,Storm,,,,1 month ago,t,,,,,,
12/7/21,S0058,"Yes, I agree to participate",Yes,Yes,"Email,Phone",Yes,2290,NSW,Yes,Residential,1986,Brick veneer,,,2,Detached house,,3,This is my home and is owned under a mortgage by me or my family,,,,,2,0,0,Yes,2 dachshunds,No,,7-Jun,Above $1200,Yes - connected to the gas main,Yes - connected to the gas main,Yes - connected to the gas main,No,Yes,Ducted,All of them,2 gas,2,No,Low,No,,,,,,Two phase,Don't Know,No,Storm,,,,3 years,t,,,,,,
